,Player,FPTS,value,pos
209,Phillip Dorsett,30.2,-121.09166666666665,wr
210,D.J. Chark,29.3,-121.99166666666666,wr
211,Aldrick Robinson,29.1,-122.19166666666666,wr
212,Jeremy Kerley,28.4,-122.89166666666665,wr
213,Braxton Miller,28.3,-122.99166666666666,wr
214,Kevin White,24.8,-126.49166666666666,wr
215,J'Mon Moore,23.4,-127.89166666666665,wr
216,DaeSean Hamilton,23.1,-128.19166666666666,wr
217,Bennie Fowler,23.0,-128.29166666666666,wr
218,Deonte Thompson,22.8,-128.49166666666665,wr
219,T.J. Yeldon,59.6,-128.58333333333334,rb
220,Roger Lewis,22.6,-128.69166666666666,wr
221,Chris Moore,22.5,-128.79166666666666,wr
222,Andre Holmes,22.2,-129.09166666666667,wr
223,Eli Rogers,22.2,-129.09166666666667,wr
224,Russell Shepard,21.3,-129.99166666666665,wr
225,Kenneth Dixon,57.9,-130.28333333333333,rb
226,Darren Sproles,57.6,-130.58333333333334,rb
227,Josh Reynolds,20.6,-130.69166666666666,wr
228,Demarcus Robinson,20.1,-131.19166666666666,wr
229,Breshad Perriman,19.7,-131.59166666666667,wr
230,Daurice Fountain,19.7,-131.59166666666667,wr
231,Spencer Ware,56.5,-131.68333333333334,rb
232,Brian Quick,19.1,-132.19166666666666,wr
233,Brandon Coleman,18.0,-133.29166666666666,wr
234,Jakeem Grant,17.9,-133.39166666666665,wr
235,Kamar Aiken,17.5,-133.79166666666666,wr
236,Amara Darboh,16.9,-134.39166666666665,wr
237,DeAngelo Yancey,16.7,-134.59166666666667,wr
238,ArDarius Stewart,16.6,-134.69166666666666,wr
239,Carlos Henderson,16.2,-135.09166666666667,wr
240,Jordan Lasley,16.2,-135.09166666666667,wr
241,Rashard Higgins,15.8,-135.49166666666665,wr
242,Josh Bellamy,15.4,-135.89166666666665,wr
243,Tajae Sharpe,15.3,-135.99166666666665,wr
244,Pharoh Cooper,14.2,-137.09166666666667,wr
245,Tavarres King,13.0,-138.29166666666666,wr
246,Paul Turner,12.9,-138.39166666666665,wr
247,Darrius Heyward-Bey,12.9,-138.39166666666665,wr
248,Wayne Gallman,49.2,-138.98333333333335,rb
249,Isaiah McKenzie,12.3,-138.99166666666665,wr
250,Jordan Taylor,12.1,-139.19166666666666,wr
251,Travis Rudolph,11.8,-139.49166666666665,wr
252,Hunter Sharp,11.8,-139.49166666666665,wr
253,Damiere Byrd,11.5,-139.79166666666666,wr
254,Corey Grant,48.2,-139.98333333333335,rb
255,Bobo Wilson,11.2,-140.09166666666667,wr
256,Jaleel Scott,11.2,-140.09166666666667,wr
257,Rod Streater,11.0,-140.29166666666666,wr
258,Michael Floyd,11.0,-140.29166666666666,wr
259,Ryan Switzer,10.9,-140.39166666666665,wr
260,Jordan Wilkins,47.5,-140.68333333333334,rb
261,Chad Hansen,10.5,-140.79166666666666,wr
262,Johnny Holton,10.3,-140.99166666666665,wr
263,Chase Edmonds,47.1,-141.08333333333334,rb
264,Justin Hunter,10.1,-141.19166666666666,wr
265,Matt Slater,10.1,-141.19166666666666,wr
266,Sammie Coates,10.1,-141.19166666666666,wr
267,Jordan Leslie,10.0,-141.29166666666666,wr
268,DeAndre Smelter,10.0,-141.29166666666666,wr
269,Michael Campanaro,10.0,-141.29166666666666,wr
270,Kasen Williams,9.9,-141.39166666666665,wr
271,James Wright,9.9,-141.39166666666665,wr
272,Darius Jennings,9.8,-141.49166666666665,wr
273,Lucky Whitehead,9.4,-141.89166666666665,wr
274,Braxton Berrios,9.4,-141.89166666666665,wr
275,Jake Lampman,9.4,-141.89166666666665,wr
276,Seantavius Jones,9.2,-142.09166666666667,wr
277,Kendrick Bourne,9.2,-142.09166666666667,wr
278,Austin Carr,9.1,-142.19166666666666,wr
279,Cody Core,9.1,-142.19166666666666,wr
280,Leonte Carroo,9.1,-142.19166666666666,wr
281,DeVier Posey,9.1,-142.19166666666666,wr
282,Josh Huff,9.1,-142.19166666666666,wr
283,Jace Billingsley,8.8,-142.49166666666665,wr
284,Byron Marshall,8.8,-142.49166666666665,wr
285,Marquez Valdes-Scantling,8.8,-142.49166666666665,wr
286,Jaydon Mickens,8.7,-142.59166666666667,wr
287,Daniel Braverman,8.7,-142.59166666666667,wr
288,Geremy Davis,8.7,-142.59166666666667,wr
289,Marlon Brown,8.6,-142.69166666666666,wr
290,Richie James,8.5,-142.79166666666666,wr
291,Rashad Greene,8.5,-142.79166666666666,wr
292,Rashad Ross,8.4,-142.89166666666665,wr
293,Alex Erickson,8.2,-143.09166666666667,wr
294,Equanimeous St. Brown,8.2,-143.09166666666667,wr
295,Dylan Cantrell,8.2,-143.09166666666667,wr
296,Jarius Wright,8.1,-143.19166666666666,wr
297,DeAndrew White,8.1,-143.19166666666666,wr
298,Justin Watson,8.0,-143.29166666666666,wr
299,Russell Gage,8.0,-143.29166666666666,wr
300,Charone Peake,8.0,-143.29166666666666,wr
301,Reggie Davis,8.0,-143.29166666666666,wr
302,Maurice Harris,7.9,-143.39166666666665,wr
303,Trey Quinn,7.9,-143.39166666666665,wr
304,Nick Williams,7.9,-143.39166666666665,wr
305,Andy Jones,7.9,-143.39166666666665,wr
306,De'Anthony Thomas,7.8,-143.49166666666665,wr
307,Marquis Bundy,7.8,-143.49166666666665,wr
308,Damion Ratley,7.8,-143.49166666666665,wr
309,Markus Wheaton,7.7,-143.59166666666667,wr
310,Krishawn Hogan,7.6,-143.69166666666666,wr
311,Tanner McEvoy,7.6,-143.69166666666666,wr
312,Tommylee Lewis,7.5,-143.79166666666666,wr
313,Victor Bolden Jr.,7.5,-143.79166666666666,wr
314,Demarcus Ayers,7.4,-143.89166666666665,wr
315,Trevor Davis,7.3,-143.99166666666665,wr
316,Sam Bradford,137.7,-143.99166666666667,qb
317,Marvin Hall,7.2,-144.09166666666667,wr
318,Marcell Ateman,7.2,-144.09166666666667,wr
319,Freddie Martino,7.1,-144.19166666666666,wr
320,Bradley Marquez,7.1,-144.19166666666666,wr
321,Shane Wynn,7.1,-144.19166666666666,wr
322,Max McCaffrey,7.0,-144.29166666666666,wr
323,Chris Thompson,7.0,-144.29166666666666,wr
324,Tanner Gentry,6.9,-144.39166666666665,wr
325,K.J. Brent,6.7,-144.59166666666667,wr
326,Auden Tate,6.6,-144.69166666666666,wr
327,Stacy Coley,6.3,-144.99166666666665,wr
328,Javon Wims,6.3,-144.99166666666665,wr
329,Rod Smith,43.1,-145.08333333333334,rb
330,J.D. McKissic,6.2,-145.09166666666667,wr
331,Marcus Johnson,6.2,-145.09166666666667,wr
332,Dwayne Harris,6.2,-145.09166666666667,wr
333,Isaac Whitney,6.1,-145.19166666666666,wr
334,Michael Clark,6.1,-145.19166666666666,wr
335,Jehu Chesson,6.1,-145.19166666666666,wr
336,Charles Johnson,5.8,-145.49166666666665,wr
337,Austin Proehl,5.7,-145.59166666666667,wr
338,Brandon Reilly,5.7,-145.59166666666667,wr
339,Ray-Ray McCloud,5.7,-145.59166666666667,wr
340,Aaron Burbridge,5.6,-145.69166666666666,wr
341,Noah Brown,5.6,-145.69166666666666,wr
342,Shelton Gibson,5.6,-145.69166666666666,wr
343,JoJo Natson,5.5,-145.79166666666666,wr
344,Kaelin Clay,5.4,-145.89166666666665,wr
345,Josh Malone,5.4,-145.89166666666665,wr
346,Griff Whalen,5.3,-145.99166666666665,wr
347,Bryce Treggs,4.6,-146.69166666666666,wr
348,Jonathan Stewart,41.4,-146.78333333333333,rb
349,Cedrick Wilson,4.4,-146.89166666666665,wr
350,Jeff Janis,4.3,-146.99166666666665,wr
351,Kalif Raymond,3.8,-147.49166666666665,wr
352,Elijah McGuire,40.6,-147.58333333333334,rb
353,Tavon Austin,40.6,-147.58333333333334,rb
354,Vince Mayle,3.5,-147.79166666666666,wr
355,Ricardo Louis,2.9,-148.39166666666665,wr
356,Jalen Richard,39.4,-148.78333333333333,rb
357,Andre Roberts,2.5,-148.79166666666666,wr
358,C.J. Prosise,38.9,-149.28333333333333,rb
359,James Conner,37.3,-150.88333333333333,rb
360,Charles Sims,36.1,-152.08333333333334,rb
361,De'Angelo Henderson,34.8,-153.38333333333333,rb
362,Ameer Abdullah,33.7,-154.48333333333335,rb
363,Travaris Cadet,32.2,-155.98333333333335,rb
364,Kyle Juszczyk,31.9,-156.28333333333333,rb
365,DeAndre Washington,31.5,-156.68333333333334,rb
366,Samaje Perine,31.1,-157.08333333333334,rb
367,Malcolm Brown,30.1,-158.08333333333334,rb
368,Kalen Ballage,29.4,-158.78333333333333,rb
369,Joe Williams,29.2,-158.98333333333335,rb
370,Mike Gillislee,28.7,-159.48333333333335,rb
371,Jeremy Hill,28.7,-159.48333333333335,rb
372,Terrance West,27.9,-160.28333333333333,rb
373,Alfred Blue,27.7,-160.48333333333335,rb
374,John Kelly,27.4,-160.78333333333333,rb
375,Josh McCown,120.6,-161.09166666666667,qb
376,Cameron Artis-Payne,25.2,-162.98333333333335,rb
377,Thomas Rawls,22.8,-165.38333333333333,rb
378,Christine Michael,22.8,-165.38333333333333,rb
379,Jacquizz Rodgers,22.3,-165.88333333333333,rb
380,T.J. Logan,22.0,-166.18333333333334,rb
381,Robert Turbin,21.8,-166.38333333333333,rb
382,Justin Jackson,21.6,-166.58333333333334,rb
383,Robert Kelley,20.6,-167.58333333333334,rb
384,Mark Walton,19.8,-168.38333333333333,rb
385,Wendell Smallwood,18.6,-169.58333333333334,rb
386,Jaylen Samuels,18.1,-170.08333333333334,rb
387,Jeremy McNichols,17.6,-170.58333333333334,rb
388,J.D. McKissic,17.2,-170.98333333333335,rb
389,Boston Scott,16.8,-171.38333333333333,rb
390,Kapri Bibbs,16.8,-171.38333333333333,rb
391,Bo Scarbrough,14.9,-173.28333333333333,rb
392,Elijhaa Penny,14.7,-173.48333333333335,rb
393,Tyler Ervin,13.4,-174.78333333333333,rb
394,Charcandrick West,13.2,-174.98333333333335,rb
395,Benny Cunningham,13.0,-175.18333333333334,rb
396,Damien Williams,13.0,-175.18333333333334,rb
397,Matt Jones,11.9,-176.28333333333333,rb
398,Alex Armah,11.9,-176.28333333333333,rb
399,Ito Smith,11.8,-176.38333333333333,rb
400,AJ McCarron,105.1,-176.59166666666667,qb
401,CJ Ham,10.6,-177.58333333333334,rb
402,Aaron Ripkowski,10.1,-178.08333333333334,rb
403,Tommy Bohanon,10.1,-178.08333333333334,rb
404,Jonathan Williams,10.0,-178.18333333333334,rb
405,Trey Williams,9.6,-178.58333333333334,rb
406,Marcus Murphy,9.6,-178.58333333333334,rb
407,Shane Vereen,9.6,-178.58333333333334,rb
408,Dwayne Washington,9.5,-178.68333333333334,rb
409,Andy Janovich,9.4,-178.78333333333333,rb
410,Mack Brown,9.2,-178.98333333333335,rb
411,Troymaine Pope,9.2,-178.98333333333335,rb
412,D.J. Foster,9.1,-179.08333333333334,rb
413,Brandon Wilds,9.1,-179.08333333333334,rb
414,Jamize Olawale,8.8,-179.38333333333333,rb
415,Kerwynn Williams,8.3,-179.88333333333333,rb
416,Jeremy Langford,8.2,-179.98333333333335,rb
417,Keith Marshall,8.0,-180.18333333333334,rb
418,Kenjon Barner,7.8,-180.38333333333333,rb
419,Trey Edmunds,7.8,-180.38333333333333,rb
420,Zach Zenner,7.8,-180.38333333333333,rb
421,Roosevelt Nix,7.5,-180.68333333333334,rb
422,Senorise Perry,7.3,-180.88333333333333,rb
423,Brian Hill,7.2,-180.98333333333335,rb
424,Tre Madden,7.0,-181.18333333333334,rb
425,Anthony Sherman,7.0,-181.18333333333334,rb
426,David Fluellen,7.0,-181.18333333333334,rb
427,Fitzgerald Toussaint,6.9,-181.28333333333333,rb
428,Josh Adams,6.9,-181.28333333333333,rb
429,David Williams,6.8,-181.38333333333333,rb
430,Phillip Lindsay,6.7,-181.48333333333335,rb
431,Stevan Ridley,6.6,-181.58333333333334,rb
432,Jalston Fowler,6.6,-181.58333333333334,rb
433,Zach Line,6.3,-181.88333333333333,rb
434,Patrick DiMarco,6.2,-181.98333333333335,rb
435,Donnel Pumphrey,6.2,-181.98333333333335,rb
436,Derek Watt,6.0,-182.18333333333334,rb
437,Josh Ferguson,5.7,-182.48333333333335,rb
438,Brandon Bolden,5.6,-182.58333333333334,rb
