"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Zay Jones","BUF","28.2","350.3","2.0","0.0","0.2","0.0","0.1","46.8"
"Jaron Brown","SEA","22.2","307.7","2.5","0.0","0.0","0.0","0.2","45.2"
"Tyler Boyd","CIN","30.7","344.3","1.7","0.4","3.3","0.0","0.3","44.2"
"Torrey Smith","CAR","24.5","317.1","1.9","0.4","1.2","0.0","0.2","42.6"
"Kenny Britt","NE","20.7","274.3","2.1","0.0","0.0","0.0","0.4","39.5"
"TJ Jones","DET","23.1","303.3","1.6","0.0","0.0","0.0","0.2","39.3"
"Dante Pettis","SF","22.9","300.8","1.6","0.0","0.0","0.0","0.4","39.2"
"Seth Roberts","OAK","29.8","312.5","1.6","0.0","0.0","0.0","1.2","38.6"
"Tavon Austin","DAL","22.5","208.1","0.7","21.9","132.2","0.8","2.7","37.5"
"Chad Williams","ARI","22.9","275.3","1.4","1.5","8.9","0.0","0.4","36.4"
"Deon Cain","IND","18.8","244.1","1.7","0.0","0.0","0.0","0.0","34.8"
"Keke Coutee","HOU","20.6","265.1","1.4","0.0","0.0","0.0","0.4","34.1"
"Cordarrelle Patterson","NE","16.5","171.3","1.0","10.8","81.7","0.5","0.2","34.0"
"Laquon Treadwell","MIN","21.4","251.7","1.5","0.0","0.0","0.0","0.2","33.8"
"Cody Latimer","NYG","21.5","269.1","1.2","0.0","0.0","0.0","0.3","33.8"
"Bruce Ellington","HOU","23.4","271.4","1.1","0.7","3.6","0.0","0.4","33.5"
"Curtis Samuel","CAR","21.3","235.2","1.2","4.5","27.2","0.1","0.2","33.4"
"Chris Conley","KC","20.5","254.9","1.2","0.0","0.0","0.0","0.1","32.5"
"Justin Hardy","ATL","17.8","223.2","1.5","0.1","0.8","0.0","0.2","31.2"
"Mack Hollins","PHI","17.4","227.9","1.5","0.0","0.0","0.0","0.4","31.0"
"Phillip Dorsett","NE","16.6","224.3","1.3","0.4","2.3","0.0","0.2","30.2"
"D.J. Chark","JAC","17.4","232.2","1.2","0.0","0.0","0.0","0.6","29.3"
"Aldrick Robinson","SF","18.1","245.2","0.9","0.0","0.0","0.0","0.4","29.1"
"Jeremy Kerley","BUF","22.3","245.2","1.0","0.0","0.0","0.0","1.0","28.4"
"Braxton Miller","HOU","19.1","204.1","1.2","1.1","7.6","0.1","0.2","28.3"
"Kevin White","CHI","20.0","214.3","0.7","0.1","-0.3","0.0","0.4","24.8"
"J'Mon Moore","GB","14.0","175.2","1.1","0.0","0.0","0.0","0.3","23.4"
"DaeSean Hamilton","DEN","14.4","180.6","1.0","0.0","0.0","0.0","0.4","23.1"
"Bennie Fowler","CHI","13.0","170.4","1.1","0.0","0.0","0.0","0.3","23.0"
"Deonte Thompson","DAL","13.1","181.3","0.8","0.5","2.8","0.0","0.1","22.8"
"Roger Lewis","NYG","15.1","179.6","0.9","0.0","0.0","0.0","0.4","22.6"
"Chris Moore","BAL","13.5","157.5","1.0","1.4","7.8","0.0","0.1","22.5"
"Eli Rogers","PIT","17.5","202.0","1.0","0.0","0.0","0.0","2.0","22.2"
"Andre Holmes","BUF","13.4","155.5","1.2","0.0","0.0","0.0","0.2","22.2"
"Russell Shepard","NYG","13.2","179.2","0.6","0.5","0.5","0.0","0.0","21.3"
"Josh Reynolds","LAR","12.4","154.2","1.0","0.0","0.0","0.0","0.5","20.6"
"Demarcus Robinson","KC","13.4","153.3","0.8","0.0","0.2","0.0","0.0","20.1"
"Daurice Fountain","IND","11.4","142.3","0.9","0.0","0.0","0.0","0.0","19.7"
"Breshad Perriman","BAL","13.1","155.1","0.8","0.1","0.6","0.0","0.2","19.7"
"Brian Quick","WAS","12.8","169.5","0.5","0.0","0.0","0.0","0.5","19.1"
"Brandon Coleman","NO","8.5","120.0","1.0","0.0","0.0","0.0","0.0","18.0"
"Jakeem Grant","MIA","12.1","162.3","1.0","1.1","3.7","0.0","2.3","17.9"
"Kamar Aiken","PHI","10.0","127.0","0.8","0.0","0.0","0.0","0.0","17.5"
"Amara Darboh","SEA","11.2","129.0","0.7","0.0","0.0","0.0","0.1","16.9"
"DeAngelo Yancey","GB","12.0","167.0","0.0","0.0","0.0","0.0","0.0","16.7"
"ArDarius Stewart","NYJ","10.2","130.7","0.6","1.0","4.3","0.0","0.1","16.6"
"Jordan Lasley","BAL","11.5","131.0","0.7","0.0","0.0","0.0","0.4","16.2"
"Carlos Henderson","DEN","10.3","130.0","0.6","0.0","0.0","0.0","0.1","16.2"
"Rashard Higgins","CLE","10.0","116.3","0.8","0.0","0.0","0.0","0.3","15.8"
"Josh Bellamy","CHI","8.9","117.7","0.6","0.4","2.3","0.0","0.1","15.4"
