"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jeremy McNichols","SF","17.1","70.6","0.4","8.8","73.0","0.2","0.0","17.6"
"J.D. McKissic","SEA","12.7","51.3","0.1","13.4","104.0","0.2","0.0","17.2"
"Kapri Bibbs","WAS","11.8","49.5","0.3","8.8","80.2","0.4","0.3","16.8"
"Boston Scott","NO","20.5","84.8","0.7","4.3","35.0","0.1","0.1","16.8"
"Bo Scarbrough","DAL","25.3","98.7","0.4","3.0","20.3","0.1","0.1","14.9"
"Elijhaa Penny","ARI","15.7","63.4","0.5","6.6","50.1","0.1","0.1","14.7"
"Tyler Ervin","HOU","18.1","70.8","0.4","6.0","42.6","0.1","0.3","13.4"
"Charcandrick West","KC","10.0","36.8","0.3","9.8","59.7","0.3","0.1","13.2"
"Benny Cunningham","CHI","11.0","41.1","0.1","8.5","71.6","0.2","0.2","13.0"
"Damien Williams","KC","13.0","51.7","0.4","5.3","42.1","0.2","0.1","13.0"
"Matt Jones","PHI","16.0","69.7","0.5","3.4","23.6","0.1","0.4","11.9"
"Alex Armah","CAR","13.9","61.0","0.1","6.4","47.8","0.0","0.0","11.9"
"Ito Smith","ATL","20.3","78.2","0.2","3.3","24.6","0.1","0.1","11.8"
"CJ Ham","MIN","11.1","44.1","0.2","5.2","41.9","0.1","0.0","10.6"
"Aaron Ripkowski","GB","8.6","30.9","0.2","6.9","47.2","0.2","0.1","10.1"
"Tommy Bohanon","JAC","4.6","16.6","0.6","4.6","38.3","0.2","0.0","10.1"
"Jonathan Williams","NO","19.6","65.3","0.6","2.6","19.7","0.0","0.9","10.0"
"Marcus Murphy","BUF","10.3","45.6","0.3","4.2","29.6","0.1","0.0","9.6"
"Trey Williams","DAL","8.5","37.2","0.3","4.4","38.0","0.0","0.0","9.6"
"Shane Vereen","NO","9.0","37.0","0.1","8.0","51.0","0.1","0.2","9.6"
"Dwayne Washington","DET","13.6","44.3","0.2","4.3","34.8","0.1","0.2","9.5"
"Andy Janovich","DEN","5.4","21.8","0.5","3.9","32.1","0.1","0.0","9.4"
"Troymaine Pope","HOU","10.5","40.8","0.2","5.1","38.0","0.0","0.0","9.2"
"Mack Brown","MIN","11.8","44.9","0.2","4.0","30.6","0.1","0.1","9.2"
"Brandon Wilds","JAC","10.7","42.2","0.2","4.6","38.4","0.0","0.0","9.1"
"D.J. Foster","ARI","8.3","28.0","0.0","6.6","49.0","0.3","0.2","9.1"
"Jamize Olawale","DAL","7.1","30.1","0.3","3.6","34.6","0.1","0.0","8.8"
"Kerwynn Williams","KC","10.6","46.0","0.2","2.7","24.4","0.1","0.1","8.3"
"Jeremy Langford","MIA","8.5","35.1","0.0","4.5","36.6","0.2","0.0","8.2"
"Keith Marshall","WAS","7.7","28.3","0.1","4.9","37.6","0.2","0.0","8.0"
"Kenjon Barner","CAR","9.1","38.3","0.4","1.9","15.8","0.1","0.1","7.8"
"Zach Zenner","DET","9.2","33.5","0.3","3.3","25.1","0.1","0.2","7.8"
"Trey Edmunds","NO","10.6","43.2","0.4","1.7","13.1","0.0","0.2","7.8"
"Roosevelt Nix","PIT","9.8","32.4","0.4","2.4","11.8","0.1","0.0","7.5"
"Senorise Perry","MIA","9.6","40.7","0.2","2.5","17.0","0.1","0.2","7.3"
"Brian Hill","CIN","9.0","31.6","0.1","2.7","28.0","0.2","0.2","7.2"
"Tre Madden","SEA","5.2","20.1","0.1","3.0","27.9","0.2","0.0","7.0"
"Anthony Sherman","KC","5.5","18.4","0.2","4.5","34.2","0.1","0.0","7.0"
"David Fluellen","TEN","8.1","43.2","0.2","2.5","14.1","0.1","0.2","7.0"
"Josh Adams","PHI","8.4","35.3","0.2","2.1","16.7","0.1","0.1","6.9"
"Fitzgerald Toussaint","PIT","8.0","32.9","0.2","2.3","16.6","0.1","0.1","6.9"
"David Williams","DEN","11.0","37.0","0.2","2.0","15.0","0.1","0.1","6.8"
